election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
NY,2003,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,LIEUTENANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY POLICE DEPARTMENT,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1125
NY,2003,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1125
NY,2003,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1125
NY,2004,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1125
NY,2008,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,MARSHAL ASSOCIATION OF CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1125
AZ,2003,Republican,ARIZONA REPUBLICAN PARTY,ARIZONA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
ID,2017,Republican,IDAHO SENATE REPUBLICANS,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,3,1100
LA,2018,Democratic,HOUSE DEMOCRATIC CAMPAIGN CMTE OF LOUISIANA,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1100
MN,2005,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,1100
MN,2005,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
MN,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
MN,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1100
MT,2008,Republican,MONTANA REPUBLICAN PARTY,ASSOCIATION OF MONTANA TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
NJ,2008,Republican,NEW JERSEY REPUBLICAN PARTY,NEW JERSEY STATE TROOPERS NON-COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1100
NY,2000,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
NY,2001,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
NY,2006,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1100
NY,2010,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,DETECTIVES ASSOCIATION COUNTY OF NASSAU,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1100
VA,2019,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,1100
VA,2003,Republican,JOINT REPUBLICAN CAUCUS OF THE VIRGINIA GENERAL ASSEMBLY,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,1050
AZ,2002,Democratic,ARIZONA DEMOCRATIC PARTY,PHOENIX LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION / OP&CMIA,1,1000
AZ,2007,Republican,ARIZONA REPUBLICAN PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
AZ,2007,Republican,ARIZONA REPUBLICAN PARTY,PHOENIX LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION / OP&CMIA,1,1000
AZ,2008,Democratic,ARIZONA DEMOCRATIC PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
AZ,2008,Democratic,ARIZONA DEMOCRATIC PARTY,PHOENIX LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION / OP&CMIA,1,1000
AZ,2009,Democratic,ARIZONA DEMOCRATIC PARTY,PHOENIX LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,OPERATIVE PLASTERERS & CEMENT MASONS INTERNATIONAL ASSOCIATION / OP&CMIA,2,1000
AZ,2010,Democratic,ARIZONA DEMOCRATIC PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
AZ,2011,Democratic,ARIZONA DEMOCRATIC PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
AZ,2018,Democratic,ARIZONA DEMOCRATIC PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
AZ,2019,Democratic,ARIZONA DEMOCRATIC PARTY,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AHPA,1,1000
CA,2001,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2003,Republican,CALIFORNIA REPUBLICAN PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2004,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2004,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES SCHOOL POLICE MANAGEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2005,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CA,2015,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CO,2006,Democratic,COLORADO DEMOCRATIC HOUSE CAUCUS,COLORADO STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CT,2000,Democratic,HOUSE DEMOCRATS CAMPAIGN CMTE OF CONNECTICUT,STAMFORD POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
CT,2000,Democratic,SENATE DEMOCRATS VICTORY PAC OF CONNECTICUT,CONNECTICUT STATE POLICE UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,4,1000
CT,2001,Democratic,HOUSE DEMOCRATS CAMPAIGN CMTE OF CONNECTICUT,CONNECTICUT STATE POLICE UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,1,1000
CT,2001,Democratic,SENATE DEMOCRATS VICTORY PAC OF CONNECTICUT,CONNECTICUT STATE POLICE UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,1,1000
DE,2004,Republican,DELAWARE REPUBLICAN PARTY,FRATERNAL ORDER OF POLICE LODGE 10,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
FL,2000,Democratic,FLORIDA DEMOCRATIC PARTY,DADE COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1000
FL,2001,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA ASSOCIATION OF STATE TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
FL,2002,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA ASSOCIATION OF STATE TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
FL,2003,Republican,FLORIDA REPUBLICAN PARTY,COASTAL FLORIDA PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
FL,2006,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE ASSOCIATION LOCAL 6000,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
HI,2005,Democratic,HAWAII DEMOCRATIC PARTY,STATE OF HAWAII ORGANIZATION OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
HI,2008,Democratic,HAWAII DEMOCRATIC PARTY,STATE OF HAWAII ORGANIZATION OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IA,2009,Democratic,IOWA DEMOCRATIC PARTY,POLICE OFFICERS FOR GOOD GOVERNMENT,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IA,2010,Republican,IOWA REPUBLICAN PARTY,STATE POLICE OFFICERS COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
ID,2012,Republican,IDAHO SENATE REPUBLICANS,TREASURE VALLEY FRATERNAL ORDER OF POLICE LODGE 11,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,2,1000
IL,2000,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2000,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1000
IL,2001,Democratic,ILLINOIS DEMOCRATIC PARTY,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2001,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2001,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2002,Democratic,ILLINOIS DEMOCRATIC PARTY,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2002,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2003,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2003,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2003,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS STATE POLICE COMMAND OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2004,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2004,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2004,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2005,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2005,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2005,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2005,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2005,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2005,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS STATE POLICE COMMAND OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2006,Democratic,ILLINOIS DEMOCRATIC PARTY,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2006,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2006,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2007,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2007,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2007,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2008,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2008,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2008,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2008,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2009,Democratic,ILLINOIS DEMOCRATIC PARTY,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2009,Democratic,ILLINOIS DEMOCRATIC PARTY,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2009,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2010,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2010,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2010,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,TROOPAC-TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2011,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2011,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2012,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1000
IL,2012,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2012,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,2,1000
IL,2015,Democratic,ILLINOIS DEMOCRATIC PARTY,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IL,2015,Democratic,ILLINOIS DEMOCRATIC PARTY,POLICEMEN'S BENEVOLENT & PROTECTIVE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2015,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,POLICEMEN'S BENEVOLENT & PROTECTIVE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2019,Democratic,ILLINOIS DEMOCRATIC PARTY,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IL,2019,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,TROOPAC-TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2000,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,1000
IN,2000,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2007,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2007,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2007,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2008,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2008,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,1000
IN,2009,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2009,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2010,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2010,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2011,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2011,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2012,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2013,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2013,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2014,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2014,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2015,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2015,Republican,INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2016,Democratic,INDIANA HOUSE DEMOCRATIC CAUCUS,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2016,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
IN,2017,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA,INDIANA STATE POLICE ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,1000
